"","orig.ident","nCount_RNA","nFeature_RNA","Cell","Batch","Group","ExpLibSize","RNA_snn_res.0.8","seurat_clusters"
"Cell35","SeuratProject",78960,9256,"Cell35","Batch1","Group1",78550.6031689718,"5","5"
"Cell36","SeuratProject",52840,7699,"Cell36","Batch1","Group1",51708.3423055689,"0","0"
"Cell37","SeuratProject",64690,8720,"Cell37","Batch1","Group4",64664.2117946047,"3","3"
"Cell38","SeuratProject",71698,8969,"Cell38","Batch1","Group4",72081.0214626358,"0","0"
"Cell39","SeuratProject",46586,7408,"Cell39","Batch1","Group1",46729.0872431832,"0","0"
"Cell40","SeuratProject",84948,9686,"Cell40","Batch1","Group3",84737.2733047821,"5","5"
"Cell41","SeuratProject",66431,8703,"Cell41","Batch1","Group4",65766.4833588656,"2","2"
"Cell42","SeuratProject",63419,8446,"Cell42","Batch1","Group1",63208.1730984334,"5","5"
"Cell43","SeuratProject",52363,7819,"Cell43","Batch1","Group2",52370.9456752887,"1","1"
"Cell44","SeuratProject",67603,8663,"Cell44","Batch1","Group3",66788.6114028972,"0","0"
"Cell45","SeuratProject",63788,8484,"Cell45","Batch1","Group1",63517.8024770834,"1","1"
"Cell46","SeuratProject",48254,7404,"Cell46","Batch1","Group1",47678.581080311,"2","2"
"Cell47","SeuratProject",77112,9287,"Cell47","Batch1","Group2",77500.9319702422,"4","4"
"Cell48","SeuratProject",38203,6662,"Cell48","Batch1","Group1",38331.6517360229,"3","3"
"Cell49","SeuratProject",77881,9261,"Cell49","Batch1","Group4",77409.1675002879,"5","5"
"Cell50","SeuratProject",45042,7218,"Cell50","Batch1","Group1",45132.7035610009,"4","4"
"Cell51","SeuratProject",52121,7747,"Cell51","Batch1","Group1",52068.5198019839,"3","3"
"Cell52","SeuratProject",71160,8976,"Cell52","Batch1","Group1",70590.4411244712,"0","0"
"Cell53","SeuratProject",47919,7416,"Cell53","Batch1","Group1",47595.9120269341,"3","3"
"Cell54","SeuratProject",59433,8279,"Cell54","Batch1","Group1",60232.8998431449,"1","1"
"Cell55","SeuratProject",59057,8302,"Cell55","Batch1","Group4",59256.2029724119,"0","0"
"Cell56","SeuratProject",56727,7984,"Cell56","Batch1","Group1",56492.3125812478,"1","1"
"Cell57","SeuratProject",59099,8204,"Cell57","Batch1","Group3",59134.0523873202,"4","4"
"Cell58","SeuratProject",47395,7414,"Cell58","Batch1","Group1",48322.5842686389,"5","5"
"Cell59","SeuratProject",47710,7401,"Cell59","Batch1","Group1",47397.3593716774,"5","5"
"Cell60","SeuratProject",56867,8086,"Cell60","Batch1","Group3",57566.2192381563,"4","4"
"Cell61","SeuratProject",47012,7356,"Cell61","Batch1","Group4",46792.9017363,"1","1"
"Cell62","SeuratProject",83259,9634,"Cell62","Batch1","Group4",83714.3061781467,"5","5"
"Cell63","SeuratProject",62573,8324,"Cell63","Batch1","Group3",61695.3420834163,"3","3"
"Cell64","SeuratProject",74860,9114,"Cell64","Batch1","Group2",74683.1216053484,"0","0"
"Cell65","SeuratProject",57852,8120,"Cell65","Batch1","Group1",57915.9492147651,"6","6"
"Cell66","SeuratProject",43027,7018,"Cell66","Batch1","Group1",43275.699904503,"6","6"
"Cell67","SeuratProject",67032,8789,"Cell67","Batch1","Group1",66757.1949860516,"1","1"
"Cell68","SeuratProject",65740,8504,"Cell68","Batch1","Group1",65277.6284691624,"0","0"
"Cell69","SeuratProject",41977,6998,"Cell69","Batch1","Group4",42294.3344596244,"1","1"
"Cell70","SeuratProject",77217,9310,"Cell70","Batch1","Group1",78117.0387607504,"1","1"
"Cell71","SeuratProject",50725,7606,"Cell71","Batch1","Group3",50759.1661333582,"3","3"
"Cell72","SeuratProject",51678,7705,"Cell72","Batch1","Group2",51556.6081185045,"4","4"
"Cell73","SeuratProject",38923,6668,"Cell73","Batch1","Group3",39077.1200389505,"1","1"
"Cell74","SeuratProject",63717,8577,"Cell74","Batch1","Group3",64378.0376866623,"0","0"
"Cell75","SeuratProject",58204,8067,"Cell75","Batch1","Group1",57096.6965253865,"0","0"
"Cell76","SeuratProject",49425,7639,"Cell76","Batch1","Group2",49885.2930995434,"2","2"
"Cell77","SeuratProject",53731,7793,"Cell77","Batch1","Group2",53676.2259221497,"5","5"
"Cell78","SeuratProject",62318,8302,"Cell78","Batch1","Group4",62049.9921379694,"0","0"
"Cell79","SeuratProject",49231,7610,"Cell79","Batch1","Group3",49099.9052822558,"4","4"
"Cell80","SeuratProject",50738,7587,"Cell80","Batch1","Group3",50398.3661291035,"4","4"
"Cell81","SeuratProject",66338,8661,"Cell81","Batch1","Group2",65587.0654430567,"0","0"
"Cell82","SeuratProject",39855,6726,"Cell82","Batch1","Group3",39662.7946118489,"6","6"
"Cell83","SeuratProject",61176,8403,"Cell83","Batch1","Group1",61870.3645174575,"3","3"
"Cell84","SeuratProject",69931,8936,"Cell84","Batch1","Group3",70100.0829856907,"5","5"
"Cell85","SeuratProject",47625,7504,"Cell85","Batch1","Group2",48109.9603809866,"4","4"
"Cell86","SeuratProject",53973,7813,"Cell86","Batch1","Group1",53765.421692931,"4","4"
"Cell87","SeuratProject",56455,8162,"Cell87","Batch1","Group1",57247.2058228013,"0","0"
"Cell88","SeuratProject",79827,9318,"Cell88","Batch1","Group1",80295.338153945,"0","0"
"Cell89","SeuratProject",43457,7133,"Cell89","Batch1","Group3",43424.9153876724,"1","1"
"Cell90","SeuratProject",54229,7915,"Cell90","Batch1","Group1",53654.2552215963,"0","0"
"Cell91","SeuratProject",48145,7379,"Cell91","Batch1","Group1",47808.6638926395,"4","4"
"Cell92","SeuratProject",64805,8583,"Cell92","Batch1","Group3",64568.7607072817,"0","0"
"Cell93","SeuratProject",56075,8020,"Cell93","Batch1","Group1",55731.750683401,"0","0"
"Cell94","SeuratProject",59289,8224,"Cell94","Batch1","Group2",60180.1891205068,"2","2"
"Cell95","SeuratProject",49935,7608,"Cell95","Batch1","Group2",50649.4769909006,"1","1"
"Cell96","SeuratProject",64235,8634,"Cell96","Batch1","Group1",64142.7265691328,"0","0"
"Cell97","SeuratProject",77312,9212,"Cell97","Batch1","Group2",77076.5014386422,"0","0"
"Cell98","SeuratProject",64481,8587,"Cell98","Batch1","Group2",63936.7605829911,"2","2"
"Cell99","SeuratProject",59408,8196,"Cell99","Batch1","Group1",59415.2911870211,"2","2"
"Cell100","SeuratProject",66850,8779,"Cell100","Batch1","Group1",66874.356794335,"3","3"
"Cell101","SeuratProject",72039,8959,"Cell101","Batch1","Group3",71513.3522719151,"3","3"
"Cell102","SeuratProject",63607,8499,"Cell102","Batch1","Group1",63483.9212442083,"1","1"
"Cell103","SeuratProject",63295,8441,"Cell103","Batch1","Group1",63790.983121928,"2","2"
"Cell104","SeuratProject",40013,6790,"Cell104","Batch1","Group2",39940.6306479949,"4","4"
"Cell105","SeuratProject",50375,7588,"Cell105","Batch1","Group3",49858.2822265019,"3","3"
"Cell106","SeuratProject",55717,8067,"Cell106","Batch1","Group3",55904.0304798643,"3","3"
"Cell107","SeuratProject",52841,7812,"Cell107","Batch1","Group2",52909.5479711683,"6","6"
"Cell108","SeuratProject",88482,9851,"Cell108","Batch1","Group3",88772.7189000881,"3","3"
"Cell109","SeuratProject",77884,9240,"Cell109","Batch1","Group3",77378.8938202255,"1","1"
"Cell110","SeuratProject",76267,9259,"Cell110","Batch1","Group3",76389.4648800883,"1","1"
"Cell111","SeuratProject",46683,7361,"Cell111","Batch1","Group3",46378.6715831237,"0","0"
"Cell112","SeuratProject",90458,9803,"Cell112","Batch1","Group3",90818.7038832098,"6","6"
"Cell113","SeuratProject",52342,7810,"Cell113","Batch1","Group1",52489.4913368679,"5","5"
"Cell114","SeuratProject",55490,7966,"Cell114","Batch1","Group1",55895.2891795726,"1","1"
"Cell115","SeuratProject",68906,8840,"Cell115","Batch1","Group1",69483.6231833184,"0","0"
"Cell116","SeuratProject",46258,7240,"Cell116","Batch1","Group2",45960.3177488017,"1","1"
"Cell117","SeuratProject",64984,8593,"Cell117","Batch1","Group1",64749.1600175864,"1","1"
"Cell118","SeuratProject",58145,8188,"Cell118","Batch1","Group4",58748.6098412329,"4","4"
"Cell119","SeuratProject",75210,9247,"Cell119","Batch1","Group3",75096.6364882982,"6","6"
"Cell120","SeuratProject",66270,8676,"Cell120","Batch1","Group4",65725.8954613519,"4","4"
"Cell121","SeuratProject",69281,8878,"Cell121","Batch1","Group3",68944.3757713681,"6","6"
"Cell122","SeuratProject",45376,7281,"Cell122","Batch1","Group1",45739.144033592,"4","4"
"Cell123","SeuratProject",83354,9513,"Cell123","Batch1","Group2",82556.2440146791,"4","4"
"Cell124","SeuratProject",108914,10569,"Cell124","Batch1","Group1",108619.595724652,"0","0"
"Cell125","SeuratProject",72330,9043,"Cell125","Batch1","Group1",71528.8511434703,"3","3"
"Cell126","SeuratProject",55546,8007,"Cell126","Batch1","Group1",55668.8233015161,"6","6"
"Cell127","SeuratProject",60712,8313,"Cell127","Batch1","Group1",60531.7815714212,"4","4"
"Cell128","SeuratProject",52921,7764,"Cell128","Batch1","Group1",53216.5632341624,"1","1"
"Cell129","SeuratProject",59706,8315,"Cell129","Batch1","Group1",60478.6172209809,"2","2"
"Cell130","SeuratProject",102077,10345,"Cell130","Batch1","Group4",101064.738784581,"1","1"
"Cell131","SeuratProject",67428,8773,"Cell131","Batch1","Group1",67875.4470731216,"2","2"
"Cell132","SeuratProject",51222,7666,"Cell132","Batch1","Group3",50744.2966013748,"3","3"
"Cell133","SeuratProject",66761,8670,"Cell133","Batch1","Group1",66224.9163901558,"3","3"
"Cell134","SeuratProject",55468,7992,"Cell134","Batch1","Group3",55330.6397087548,"4","4"
"Cell135","SeuratProject",64345,8561,"Cell135","Batch1","Group4",64317.5371016664,"0","0"
"Cell136","SeuratProject",58908,8191,"Cell136","Batch1","Group3",58508.3479229188,"6","6"
"Cell137","SeuratProject",69152,8839,"Cell137","Batch1","Group3",68604.0486108289,"1","1"
"Cell138","SeuratProject",64736,8655,"Cell138","Batch1","Group2",64574.2097160659,"4","4"
"Cell139","SeuratProject",65629,8600,"Cell139","Batch1","Group1",64682.9114518685,"3","3"
"Cell140","SeuratProject",66590,8690,"Cell140","Batch1","Group1",66830.2172737654,"5","5"
"Cell141","SeuratProject",67819,8693,"Cell141","Batch1","Group1",67687.9889310275,"1","1"
"Cell142","SeuratProject",50788,7661,"Cell142","Batch1","Group1",51065.1342993676,"2","2"
"Cell143","SeuratProject",44379,7215,"Cell143","Batch1","Group3",44437.4207696742,"4","4"
"Cell144","SeuratProject",52247,7738,"Cell144","Batch1","Group4",51329.4262289508,"1","1"
"Cell145","SeuratProject",83982,9620,"Cell145","Batch1","Group3",82875.0638768053,"4","4"
"Cell146","SeuratProject",71843,8909,"Cell146","Batch1","Group1",71734.9510270423,"0","0"
"Cell147","SeuratProject",49541,7594,"Cell147","Batch1","Group1",49630.0640235629,"2","2"
"Cell148","SeuratProject",50535,7675,"Cell148","Batch1","Group4",50379.2292144756,"3","3"
"Cell149","SeuratProject",59418,8262,"Cell149","Batch1","Group2",59729.9668657629,"1","1"
"Cell150","SeuratProject",48313,7462,"Cell150","Batch1","Group4",48843.9646797373,"5","5"
"Cell151","SeuratProject",46119,7356,"Cell151","Batch1","Group3",46121.0947215865,"0","0"
"Cell152","SeuratProject",49968,7555,"Cell152","Batch1","Group3",49932.7063541889,"4","4"
"Cell153","SeuratProject",60160,8378,"Cell153","Batch1","Group1",60418.4204009919,"4","4"
"Cell154","SeuratProject",83133,9494,"Cell154","Batch1","Group2",82318.5970589917,"1","1"
"Cell155","SeuratProject",61650,8448,"Cell155","Batch1","Group3",61654.3240935354,"1","1"
"Cell156","SeuratProject",54220,7990,"Cell156","Batch1","Group2",54575.5619875709,"0","0"
"Cell157","SeuratProject",63244,8455,"Cell157","Batch1","Group4",62776.2685162869,"2","2"
"Cell158","SeuratProject",68615,8893,"Cell158","Batch1","Group1",68380.4387697482,"0","0"
"Cell159","SeuratProject",68975,8761,"Cell159","Batch1","Group1",67914.1047544399,"6","6"
"Cell160","SeuratProject",56765,8099,"Cell160","Batch1","Group1",57298.6129117161,"0","0"
"Cell161","SeuratProject",60799,8376,"Cell161","Batch1","Group2",59891.5844519085,"1","1"
"Cell162","SeuratProject",54654,7895,"Cell162","Batch1","Group3",54715.2825863196,"4","4"
"Cell163","SeuratProject",55176,8006,"Cell163","Batch1","Group1",55071.1125136822,"3","3"
"Cell164","SeuratProject",64384,8536,"Cell164","Batch1","Group3",64065.335871371,"0","0"
"Cell165","SeuratProject",55164,8042,"Cell165","Batch1","Group1",55346.208582133,"5","5"
"Cell166","SeuratProject",56246,8021,"Cell166","Batch1","Group1",55776.4831575516,"2","2"
"Cell167","SeuratProject",47548,7420,"Cell167","Batch1","Group4",47035.8586946917,"0","0"
"Cell168","SeuratProject",54713,7893,"Cell168","Batch1","Group1",55135.8770479659,"5","5"
"Cell169","SeuratProject",64900,8665,"Cell169","Batch1","Group1",64687.6557305236,"2","2"
"Cell170","SeuratProject",53373,7833,"Cell170","Batch1","Group2",52893.5261444707,"1","1"
"Cell171","SeuratProject",75438,9126,"Cell171","Batch1","Group4",74327.9099329831,"1","1"
"Cell172","SeuratProject",43186,7073,"Cell172","Batch1","Group1",42796.7826803699,"2","2"
"Cell173","SeuratProject",44805,7226,"Cell173","Batch1","Group2",44885.1324670376,"1","1"
"Cell174","SeuratProject",45023,7187,"Cell174","Batch1","Group4",45044.3823400756,"1","1"
"Cell175","SeuratProject",47237,7376,"Cell175","Batch1","Group1",47682.6989479571,"5","5"
"Cell176","SeuratProject",44012,7043,"Cell176","Batch1","Group4",43826.6126646101,"3","3"
"Cell177","SeuratProject",54454,7876,"Cell177","Batch1","Group3",54521.3768265903,"0","0"
"Cell178","SeuratProject",65584,8639,"Cell178","Batch1","Group3",65740.5594350129,"2","2"
"Cell179","SeuratProject",58877,8237,"Cell179","Batch1","Group1",58140.4243506424,"0","0"
"Cell180","SeuratProject",82763,9540,"Cell180","Batch1","Group3",82860.7219544659,"1","1"
"Cell181","SeuratProject",65176,8631,"Cell181","Batch1","Group3",65173.5559392546,"3","3"
"Cell182","SeuratProject",53157,7929,"Cell182","Batch1","Group1",53520.6172085359,"4","4"
"Cell183","SeuratProject",57040,8030,"Cell183","Batch1","Group4",57184.2417187403,"2","2"
"Cell184","SeuratProject",73042,9021,"Cell184","Batch1","Group1",73057.3109923345,"4","4"
"Cell185","SeuratProject",53314,7845,"Cell185","Batch1","Group1",52368.8791425351,"3","3"
"Cell186","SeuratProject",61191,8280,"Cell186","Batch1","Group3",60732.9078269668,"2","2"
"Cell187","SeuratProject",47409,7379,"Cell187","Batch1","Group1",47251.387578031,"0","0"
"Cell188","SeuratProject",49807,7562,"Cell188","Batch1","Group1",49250.4280799042,"1","1"
"Cell189","SeuratProject",86215,9730,"Cell189","Batch1","Group1",87027.9606816187,"3","3"
"Cell190","SeuratProject",53288,7802,"Cell190","Batch1","Group1",53360.1950517219,"4","4"
"Cell191","SeuratProject",49278,7533,"Cell191","Batch1","Group3",48833.9484831565,"2","2"
"Cell192","SeuratProject",52343,7726,"Cell192","Batch1","Group4",52578.7865614638,"0","0"
"Cell193","SeuratProject",80785,9471,"Cell193","Batch1","Group2",81372.0082729936,"3","3"
"Cell194","SeuratProject",58622,8170,"Cell194","Batch1","Group3",58597.2224986592,"0","0"
"Cell195","SeuratProject",61681,8460,"Cell195","Batch1","Group2",61939.1088560707,"6","6"
"Cell196","SeuratProject",72352,9049,"Cell196","Batch1","Group3",73251.3345931599,"5","5"
"Cell197","SeuratProject",75969,9180,"Cell197","Batch1","Group1",75768.097193895,"5","5"
"Cell198","SeuratProject",70332,9019,"Cell198","Batch1","Group2",70794.4107117219,"3","3"
"Cell199","SeuratProject",69065,8788,"Cell199","Batch1","Group2",68449.8644905298,"4","4"
"Cell200","SeuratProject",57888,8105,"Cell200","Batch1","Group3",57026.3114803053,"5","5"
"Cell201","SeuratProject",75178,9071,"Cell201","Batch1","Group2",75046.798877917,"1","1"
"Cell202","SeuratProject",59254,8189,"Cell202","Batch1","Group1",59378.1697138384,"4","4"
"Cell203","SeuratProject",71134,9011,"Cell203","Batch1","Group1",71884.2211903988,"1","1"
"Cell204","SeuratProject",66171,8716,"Cell204","Batch1","Group3",65290.2646037189,"1","1"
"Cell205","SeuratProject",50111,7608,"Cell205","Batch1","Group1",49646.2053339339,"4","4"
"Cell206","SeuratProject",52954,7879,"Cell206","Batch1","Group1",53287.1611849753,"2","2"
"Cell207","SeuratProject",58250,8198,"Cell207","Batch1","Group1",58798.3612138182,"2","2"
"Cell208","SeuratProject",87875,9824,"Cell208","Batch1","Group1",88564.5743799206,"1","1"
"Cell209","SeuratProject",70417,8922,"Cell209","Batch1","Group2",70875.3147138759,"2","2"
"Cell210","SeuratProject",60981,8368,"Cell210","Batch1","Group1",61276.2363040075,"1","1"
"Cell211","SeuratProject",60805,8294,"Cell211","Batch1","Group1",60498.6177663289,"0","0"
"Cell212","SeuratProject",54234,7909,"Cell212","Batch1","Group1",53531.6785945499,"2","2"
"Cell213","SeuratProject",60502,8315,"Cell213","Batch1","Group3",60345.5402236221,"5","5"
"Cell214","SeuratProject",66861,8596,"Cell214","Batch1","Group1",67155.0289405024,"4","4"
"Cell215","SeuratProject",42419,7000,"Cell215","Batch1","Group1",42423.8353755425,"6","6"
"Cell216","SeuratProject",81171,9459,"Cell216","Batch1","Group2",81228.7867828149,"1","1"
"Cell217","SeuratProject",59745,8157,"Cell217","Batch1","Group2",59454.1203643023,"2","2"
"Cell218","SeuratProject",57175,8115,"Cell218","Batch1","Group1",57672.5535732423,"4","4"
"Cell219","SeuratProject",67013,8669,"Cell219","Batch1","Group3",67538.0183068658,"3","3"
"Cell220","SeuratProject",65043,8587,"Cell220","Batch1","Group2",64877.243823693,"5","5"
"Cell221","SeuratProject",95445,10139,"Cell221","Batch1","Group2",95016.1075391333,"0","0"
"Cell222","SeuratProject",51889,7763,"Cell222","Batch1","Group1",52376.6900097663,"4","4"
"Cell223","SeuratProject",44521,7211,"Cell223","Batch1","Group1",44573.534693242,"1","1"
"Cell224","SeuratProject",70892,8866,"Cell224","Batch1","Group2",70448.4185243903,"2","2"
"Cell225","SeuratProject",51223,7630,"Cell225","Batch1","Group3",50934.1371439088,"0","0"
"Cell226","SeuratProject",75168,9161,"Cell226","Batch1","Group1",75009.0180440393,"0","0"
"Cell227","SeuratProject",70923,8925,"Cell227","Batch1","Group1",70566.6361602516,"2","2"
"Cell228","SeuratProject",51138,7709,"Cell228","Batch1","Group1",50360.3433296795,"2","2"
"Cell229","SeuratProject",59971,8259,"Cell229","Batch1","Group4",60831.502676788,"2","2"
"Cell230","SeuratProject",66332,8652,"Cell230","Batch1","Group3",66250.9478769284,"6","6"
"Cell231","SeuratProject",34333,6274,"Cell231","Batch1","Group4",33704.9451985205,"0","0"
"Cell232","SeuratProject",61666,8406,"Cell232","Batch1","Group2",61429.4675355377,"0","0"
"Cell233","SeuratProject",58168,8133,"Cell233","Batch1","Group2",57172.5895120966,"2","2"
"Cell234","SeuratProject",59084,8220,"Cell234","Batch1","Group1",58956.5659791785,"5","5"
"Cell235","SeuratProject",53979,7785,"Cell235","Batch1","Group4",54112.504853715,"1","1"
"Cell236","SeuratProject",84106,9557,"Cell236","Batch1","Group1",83731.8425478698,"2","2"
"Cell237","SeuratProject",82445,9557,"Cell237","Batch1","Group1",82547.775504688,"1","1"
"Cell238","SeuratProject",72764,9071,"Cell238","Batch1","Group4",71865.0739238307,"1","1"
"Cell239","SeuratProject",70975,8928,"Cell239","Batch1","Group1",70743.6295687668,"3","3"
"Cell240","SeuratProject",69552,8843,"Cell240","Batch1","Group4",70016.4435632605,"2","2"
"Cell241","SeuratProject",46201,7267,"Cell241","Batch1","Group1",46377.9112804891,"6","6"
"Cell242","SeuratProject",74525,9208,"Cell242","Batch1","Group3",74732.3306101677,"0","0"
"Cell243","SeuratProject",52418,7645,"Cell243","Batch1","Group1",52437.0767491115,"3","3"
"Cell244","SeuratProject",66206,8724,"Cell244","Batch1","Group1",66290.1275268636,"0","0"
"Cell245","SeuratProject",68838,8858,"Cell245","Batch1","Group1",68781.7289106862,"2","2"
"Cell246","SeuratProject",59129,8225,"Cell246","Batch1","Group1",59044.7619523309,"0","0"
"Cell247","SeuratProject",78449,9297,"Cell247","Batch1","Group4",77088.9414075995,"4","4"
"Cell248","SeuratProject",57182,8094,"Cell248","Batch1","Group2",57094.2961836313,"3","3"
"Cell249","SeuratProject",49215,7640,"Cell249","Batch1","Group3",50166.7974679727,"3","3"
"Cell250","SeuratProject",76752,9267,"Cell250","Batch1","Group3",75772.8445200664,"4","4"
"Cell251","SeuratProject",71570,8932,"Cell251","Batch1","Group2",71708.5384427796,"0","0"
"Cell252","SeuratProject",66408,8685,"Cell252","Batch1","Group4",65669.0318832839,"0","0"
"Cell253","SeuratProject",57714,8192,"Cell253","Batch1","Group1",57951.4181839247,"0","0"
"Cell254","SeuratProject",75004,9156,"Cell254","Batch1","Group3",75019.7125478085,"1","1"
"Cell255","SeuratProject",51145,7647,"Cell255","Batch1","Group2",50344.7089647428,"2","2"
"Cell256","SeuratProject",49823,7570,"Cell256","Batch1","Group4",50038.3394249547,"3","3"
"Cell257","SeuratProject",56749,8101,"Cell257","Batch1","Group1",56801.1060855739,"4","4"
"Cell258","SeuratProject",71035,8973,"Cell258","Batch1","Group2",71699.7067767937,"1","1"
"Cell259","SeuratProject",38064,6729,"Cell259","Batch1","Group3",38340.0183024855,"0","0"
"Cell260","SeuratProject",42237,6984,"Cell260","Batch1","Group4",41982.3699599889,"5","5"
"Cell261","SeuratProject",56717,8081,"Cell261","Batch1","Group4",56053.9652949006,"1","1"
"Cell262","SeuratProject",42683,6952,"Cell262","Batch1","Group2",42778.6402731754,"0","0"
"Cell263","SeuratProject",65206,8706,"Cell263","Batch1","Group2",64720.89103449,"1","1"
"Cell264","SeuratProject",47901,7406,"Cell264","Batch1","Group2",47577.224097151,"4","4"
"Cell265","SeuratProject",49136,7601,"Cell265","Batch1","Group1",49295.0057539523,"1","1"
"Cell266","SeuratProject",63629,8546,"Cell266","Batch1","Group3",63906.4531071497,"2","2"
"Cell267","SeuratProject",48826,7526,"Cell267","Batch1","Group1",49160.8793755351,"2","2"
"Cell268","SeuratProject",91010,9922,"Cell268","Batch1","Group2",91170.1567954953,"0","0"
"Cell269","SeuratProject",50572,7649,"Cell269","Batch1","Group1",50151.4378984257,"1","1"
"Cell270","SeuratProject",68401,8863,"Cell270","Batch1","Group3",68235.1890771437,"1","1"
"Cell271","SeuratProject",51080,7694,"Cell271","Batch1","Group3",52339.870984919,"5","5"
"Cell272","SeuratProject",78618,9256,"Cell272","Batch1","Group2",78789.1681977061,"0","0"
"Cell273","SeuratProject",49267,7659,"Cell273","Batch1","Group3",49698.5022772998,"1","1"
"Cell274","SeuratProject",49341,7644,"Cell274","Batch1","Group4",49936.7730171313,"2","2"
"Cell275","SeuratProject",67337,8735,"Cell275","Batch1","Group3",67500.8842692599,"0","0"
"Cell276","SeuratProject",86238,9688,"Cell276","Batch1","Group1",85369.0020971271,"1","1"
"Cell277","SeuratProject",69056,8820,"Cell277","Batch1","Group4",69299.0363445276,"5","5"
"Cell278","SeuratProject",54664,7907,"Cell278","Batch1","Group2",54467.6556954054,"0","0"
"Cell279","SeuratProject",74478,9089,"Cell279","Batch1","Group1",74625.8475831519,"6","6"
"Cell280","SeuratProject",38034,6654,"Cell280","Batch1","Group2",38334.1425419538,"0","0"
"Cell281","SeuratProject",68823,8866,"Cell281","Batch1","Group4",69311.2281525484,"6","6"
"Cell282","SeuratProject",65730,8613,"Cell282","Batch1","Group1",66388.1633514627,"1","1"
"Cell283","SeuratProject",63254,8553,"Cell283","Batch1","Group4",63301.9867594856,"3","3"
"Cell284","SeuratProject",64035,8583,"Cell284","Batch1","Group2",64064.8517439236,"2","2"
"Cell285","SeuratProject",56709,8026,"Cell285","Batch1","Group3",56264.3479971245,"2","2"
"Cell286","SeuratProject",42483,7033,"Cell286","Batch1","Group1",42490.4096150503,"2","2"
"Cell287","SeuratProject",103679,10354,"Cell287","Batch1","Group1",102409.072665518,"0","0"
"Cell288","SeuratProject",54292,7871,"Cell288","Batch1","Group2",53713.9535587441,"6","6"
"Cell289","SeuratProject",49881,7594,"Cell289","Batch1","Group2",50068.9442660521,"1","1"
